survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_fill_mean,fare_log
0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,22.0,2.1102132003465894
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,38.0,4.2805931204649
1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,26.0,2.188856327665703
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,35.0,3.9908341858524357
0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,35.0,2.2027647577118348
0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,28.0,2.246892662898172
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,54.0,3.967694202798607
0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,2.0,3.094445746490024
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,27.0,2.4959537387180646
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,14.0,3.436268471383741
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,4.0,2.8735646395797834
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,58.0,3.3160025355989236
0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,20.0,2.2027647577118348
0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,39.0,3.4742929367327062
0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,14.0,2.180891922715322
1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,55.0,2.833213344056216
0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,2.0,3.405355391810819
1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,28.0,2.639057329615259
0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,31.0,2.9444389791664403
1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,28.0,2.1071782966514356
0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,35.0,3.295836866004329
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,34.0,2.639057329615259
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,15.0,2.2004637699272855
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,28.0,3.597312260588446
0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,8.0,3.094445746490024
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,38.0,3.4777725458882283
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,28.0,2.1071782966514356
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,19.0,5.575949103146316
1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.1837114628556327
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,40.0,3.357621598945279
1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,28.0,4.993969182787072
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,66.0,2.4423470353692043
0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,28.0,4.420896324687287
0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,42.0,3.970291913552122
1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,28.0,2.1076888046179385
0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,21.0,2.2027647577118348
0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,18.0,2.9444389791664403
1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,14.0,2.5048481563289
0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,40.0,2.3489914658082016
0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,27.0,3.091042453358316
0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,28.0,2.1855792552411137
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,3.0,3.7513658711253766
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,19.0,2.1837114628556327
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,28.0,2.803360380906535
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,28.0,3.121448204868825
0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,18.0,2.9338568698359033
0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,7.0,3.705920919968788
0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,21.0,2.174751721484161
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,49.0,4.353230991152628
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,29.0,3.295836866004329
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,65.0,4.142804513146981
1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,28.0,3.597312260588446
1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,21.0,2.4423470353692043
0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,28.5,2.1076888046179385
1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,5.0,3.3586377672433594
0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,11.0,3.8691155044168695
0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,22.0,2.1076888046179385
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,,yes,True,38.0,4.394449154672439
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,45.0,4.436455632600354
0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,4.0,3.3638415951183864
0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,28.0,3.357621598945279
1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,28.0,2.7878344138303452
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,29.0,2.4423470353692043
0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,19.0,2.2146605719425225
1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,17.0,2.188856327665703
0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,26.0,2.2682524139135403
0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,32.0,2.4423470353692043
0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,16.0,3.8691155044168695
0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,21.0,4.310799125385514
0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,26.0,2.737880811060884
1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,32.0,4.051711901657239
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,25.0,2.157559320943788
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,0.83,3.4011973816621555
1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,30.0,2.600836116795061
0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,22.0,2.302585092994046
1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,29.0,2.3513752571634776
1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.1733302571367834
0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,28.0,3.8732821771117156
1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,17.0,2.4423470353692043
1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,33.0,2.8243506567983707
0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,16.0,3.5660053559634015
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,23.0,5.575949103146316
0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,24.0,2.2027647577118348
0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,29.0,2.2027647577118348
0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,20.0,2.180891922715322
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,46.0,4.1299529896894684
0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,26.0,3.0715352369694915
0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,59.0,2.1102132003465894
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,71.0,3.57386695198272
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,23.0,4.164465907853638
1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,34.0,3.1780538303479458
0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,34.0,3.295836866004329
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,28.0,2.1855792552411137
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,21.0,4.360387947851531
0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,33.0,2.267393053825037
0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,37.0,2.188856327665703
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,21.0,2.157559320943788
1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,28.0,2.1719067693519296
0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,38.0,2.1855792552411137
1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,28.0,3.224857896545748
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,47.0,3.970291913552122
0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,14.5,2.737880811060884
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,22.0,2.2027647577118348
0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,20.0,2.3818582738885534
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,17.0,2.738146075922933
0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,21.0,2.188856327665703
0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,70.5,2.169053700369523
0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,29.0,3.091042453358316
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,24.0,5.515526544247129
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,2.0,3.4742929367327062
0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,21.0,4.310799125385514
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,32.5,3.436268471383741
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,32.5,2.639057329615259
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,54.0,4.360387947851531
1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,12.0,2.5048481563289
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,24.0,2.0969990034181696
1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,28.0,3.1509523813392697
0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,45.0,2.076311648670908
0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,33.0,2.1855792552411137
0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,20.0,2.085672091430472
0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,47.0,2.740840023925201
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,29.0,3.295836866004329
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,25.0,2.639057329615259
0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,23.0,2.775447133088262
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,19.0,3.3062747934011893
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,37.0,3.9908341858524357
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,16.0,2.3240236363515288
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,24.0,4.384523514872469
0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,28.0,2.7878344138303452
1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,22.0,2.169053700369523
1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,24.0,2.8243506567983707
0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,19.0,2.0476928433652555
0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,18.0,2.5257286443082556
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,19.0,3.6309854756950335
1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,27.0,2.174274334826008
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,9.0,3.5660053559634015
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,36.5,3.295836866004329
0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,42.0,2.639057329615259
0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,51.0,2.6045398247325453
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,22.0,4.213607983048918
0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,55.5,2.2027647577118348
0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,40.5,2.740840023925201
0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,28.0,2.1177604059819726
0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,51.0,4.133231886474144
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,16.0,2.167143305297764
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,30.0,2.2027647577118348
0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,28.0,2.2682524139135403
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,28.0,4.256321678298823
0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,44.0,2.8390784635086144
1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,40.0,2.8183982582710754
0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,26.0,2.1719067693519296
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17.0,2.2682524139135403
0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,1.0,3.705920919968788
1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,9.0,3.0692150503137943
1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,28.0,4.02535169073515
0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,45.0,3.3638415951183864
0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,28.0,3.2930552230424524
0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,28.0,4.051711901657239
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,61.0,3.5409593240373143
0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,4.0,3.405355391810819
1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,1.0,2.4959537387180646
0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,21.0,2.188856327665703
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,56.0,3.4561841799918147
0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,18.0,2.180891922715322
0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,28.0,3.275887339030031
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,50.0,3.391567832686312
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0,2.639057329615259
0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,36.0,0.0
0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,28.0,4.256321678298823
0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,28.0,2.775708849576025
0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,9.0,3.4777725458882283
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,1.0,3.6888794541139363
1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,4.0,3.1365805821413706
0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,28.0,3.9318256327243257
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,28.0,2.803360380906535
1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,45.0,3.3160025355989236
0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,40.0,2.803360380906535
0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,36.0,2.1855792552411137
1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,32.0,2.639057329615259
0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,19.0,2.639057329615259
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,19.0,2.180891922715322
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3.0,3.295836866004329
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,44.0,3.357621598945279
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,58.0,4.993969182787072
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,42.0,2.241156397997397
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,24.0,2.639057329615259
0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,28.0,2.3513752571634776
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,28.0,4.256321678298823
0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,34.0,2.0143428636837015
0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,45.5,2.1071782966514356
1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,18.0,2.2027647577118348
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,2.0,2.4390808375825834
0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,32.0,2.8243506567983707
1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,26.0,2.9850504252071306
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,16.0,2.169053700369523
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,40.0,3.4657359027997265
0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,24.0,2.085672091430472
1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,35.0,3.091042453358316
0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,22.0,2.1102132003465894
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0,2.639057329615259
0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,28.0,2.169053700369523
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,31.0,4.738607824217808
1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,27.0,2.188856327665703
0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,42.0,3.332204510175204
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,32.0,4.347586575960343
0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,30.0,2.4423470353692043
1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,16.0,2.2027647577118348
