survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_fill_mean,fare_log
1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,28.0,2.639057329615259
1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True,28.0,2.2096470973347766
1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False,4.0,4.417131919904876
1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False,13.0,3.0204248861443626
1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,34.0,3.3160025355989236
1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,5.0,3.0085645861193133
1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,52.0,3.449987545831587
0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False,36.0,3.3586377672433594
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,28.0,3.0429354648621407
0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,30.0,3.3586377672433594
1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False,49.0,4.500966778400217
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True,29.0,2.1855792552411137
0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True,65.0,3.3160025355989236
1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False,28.0,3.967694202798607
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,50.0,2.4423470353692043
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,48.0,3.3160025355989236
0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,34.0,2.2027647577118348
0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True,47.0,3.676300671907076
0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,48.0,2.639057329615259
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,38.0,2.085672091430472
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,28.0,0.0
0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True,56.0,3.3160025355989236
0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True,28.0,2.1661924680884908
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,0.75,3.0085645861193133
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,28.0,2.1102132003465894
0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,38.0,2.2682524139135403
1,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False,33.0,3.3586377672433594
1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True,23.0,2.694066212646058
0,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True,22.0,2.3830123421066602
0,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True,28.0,3.970291913552122
0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,34.0,3.091042453358316
0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False,29.0,2.0851502161468174
0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True,22.0,2.142510233146819
1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False,2.0,2.586823743668066
0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,9.0,3.8691155044168695
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,28.0,0.0
0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,50.0,2.2027647577118348
1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True,63.0,2.3596740599781727
1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False,25.0,4.5226490762785785
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,28.0,3.275887339030031
1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False,35.0,4.51085950651685
0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True,58.0,3.4242626545931514
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,30.0,2.2027647577118348
1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False,9.0,2.827313621929028
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False,28.0,3.0429354648621407
0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,21.0,2.1102132003465894
0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True,55.0,3.449987545831587
0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True,71.0,3.922056501139853
0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,21.0,2.2027647577118348
0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True,28.0,2.738146075922933
1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,54.0,4.37281811610993
0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True,28.0,2.7788192719904172
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,25.0,5.027492411162679
0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True,24.0,2.174274334826008
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17.0,2.2682524139135403
0,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,21.0,2.169053700369523
0,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True,28.0,2.155151800914312
0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True,37.0,2.3596740599781727
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,16.0,4.471638793363569
0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,18.0,4.699570861409576
1,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False,33.0,3.295836866004329
1,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True,28.0,3.3160025355989236
0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True,28.0,3.1580636854714434
1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,26.0,4.051711901657239
1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True,29.0,2.169053700369523
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,36.0,3.3064287218760624
1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False,54.0,4.100989104940769
0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,24.0,2.139571923732859
0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True,47.0,3.5559421706858756
1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,34.0,2.4423470353692043
0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True,28.0,3.224857896545748
1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,36.0,3.295836866004329
0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,32.0,2.1855792552411137
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,30.0,4.548599834499697
0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,22.0,2.1855792552411137
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,28.0,2.1071782966514356
1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,44.0,4.077184839375167
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,28.0,2.1076888046179385
0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,40.5,2.169053700369523
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,50.0,2.4423470353692043
0,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True,28.0,5.406181146423973
0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,39.0,2.188856327665703
0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False,23.0,2.5257286443082556
1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False,2.0,3.295836866004329
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,28.0,2.1076888046179385
0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False,17.0,2.1076888046179385
1,3,female,,0,2,22.3583,C,Third,woman,False,,Cherbourg,yes,False,28.0,3.1509523813392697
0,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True,30.0,2.2682524139135403
1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,7.0,3.305053521109253
0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,45.0,3.3160025355989236
1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True,30.0,4.676792929661059
0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True,28.0,2.740840023925201
1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False,22.0,3.9219733362813143
1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,36.0,4.276666119016055
0,3,female,9.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,9.0,3.4742929367327062
0,3,female,11.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,11.0,3.4742929367327062
1,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False,32.0,3.295836866004329
0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False,50.0,4.676792929661059
0,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True,64.0,3.295836866004329
1,2,female,19.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,19.0,3.295836866004329
1,2,male,,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True,28.0,2.6988412620169004
0,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False,33.0,3.0692150503137943
1,2,male,8.0,1,1,36.75,S,Second,child,False,,Southampton,yes,False,8.0,3.6309854756950335
1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,17.0,4.717456363787216
0,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,27.0,3.295836866004329
0,3,male,,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True,28.0,2.17806441028492
1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True,22.0,2.1071782966514356
1,3,female,22.0,0,0,7.775,S,Third,woman,False,,Southampton,yes,True,22.0,2.1719067693519296
0,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True,62.0,3.3160025355989236
1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,48.0,3.703768066607687
0,1,male,,0,0,227.525,C,First,man,True,,Cherbourg,no,True,28.0,5.4316456135398825
1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,39.0,4.390118804571218
1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False,36.0,2.91235066461494
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
0,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,40.0,2.1855792552411137
0,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,28.0,2.6741486494265287
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True,28.0,2.2027647577118348
0,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False,24.0,3.224857896545748
0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,19.0,2.1855792552411137
0,3,female,29.0,0,4,21.075,S,Third,woman,False,,Southampton,no,False,29.0,3.094445746490024
0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,28.0,2.1076888046179385
1,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True,32.0,2.180891922715322
1,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,62.0,2.4423470353692043
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False,53.0,3.960416900617205
1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True,36.0,3.3100867049215847
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16.0,2.2027647577118348
0,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True,19.0,2.740840023925201
1,2,female,34.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,34.0,2.639057329615259
1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,39.0,4.041295341132285
0,3,female,,1,0,14.4583,C,Third,woman,False,,Cherbourg,no,False,28.0,2.738146075922933
1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True,32.0,2.188856327665703
1,2,female,25.0,1,1,30.0,S,Second,woman,False,,Southampton,yes,False,25.0,3.4339872044851463
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False,39.0,4.717456363787216
0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,54.0,3.295836866004329
0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,36.0,3.716616209085536
0,3,male,,0,0,8.7125,C,Third,man,True,,Cherbourg,no,True,28.0,2.2734137156937657
1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False,18.0,4.390118804571218
0,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True,47.0,2.772588722239781
1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,60.0,4.384523514872469
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,22.0,2.2027647577118348
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,3,male,35.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,35.0,2.094945728215801
1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,52.0,4.37281811610993
0,3,male,47.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,47.0,2.1102132003465894
0,3,female,,0,2,7.75,Q,Third,woman,False,,Queenstown,no,False,28.0,2.169053700369523
0,2,male,37.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,37.0,3.295836866004329
0,3,male,36.0,1,1,24.15,S,Third,man,True,,Southampton,no,False,36.0,3.224857896545748
1,2,female,,0,0,33.0,S,Second,woman,False,,Southampton,yes,True,28.0,3.5263605246161616
0,3,male,49.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,49.0,0.0
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,28.0,2.1071782966514356
1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,49.0,4.0592215752427645
1,2,female,24.0,2,1,27.0,S,Second,woman,False,,Southampton,yes,False,24.0,3.332204510175204
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,1,male,,0,0,42.4,S,First,man,True,,Southampton,no,True,28.0,3.770459441106359
0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,44.0,2.2027647577118348
1,1,male,35.0,0,0,26.55,C,First,man,True,,Cherbourg,yes,True,35.0,3.3160025355989236
0,3,male,36.0,1,0,15.55,S,Third,man,True,,Southampton,no,False,36.0,2.806386101823072
0,3,male,30.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,30.0,2.1855792552411137
1,1,male,27.0,0,0,30.5,S,First,man,True,,Southampton,yes,True,27.0,3.449987545831587
1,2,female,22.0,1,2,41.5792,C,Second,woman,False,,Cherbourg,yes,False,22.0,3.7513658711253766
1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True,40.0,5.039951348430309
0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False,39.0,3.4742929367327062
0,3,male,,0,0,7.05,S,Third,man,True,,Southampton,no,True,28.0,2.085672091430472
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,28.0,2.803360380906535
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,35.0,2.2027647577118348
1,2,female,24.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False,24.0,4.189654742026425
0,3,male,34.0,1,1,14.4,S,Third,man,True,,Southampton,no,False,34.0,2.7343675094195836
0,3,female,26.0,1,0,16.1,S,Third,woman,False,,Southampton,no,False,26.0,2.8390784635086144
1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,4.0,3.6888794541139363
0,2,male,26.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,26.0,2.4423470353692043
0,3,male,27.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,27.0,2.737880811060884
1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False,42.0,3.9806942251907276
1,3,male,20.0,1,1,15.7417,C,Third,man,True,,Cherbourg,yes,False,20.0,2.817902613071225
0,3,male,21.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,21.0,2.180891922715322
0,3,male,21.0,0,0,16.1,S,Third,man,True,,Southampton,no,True,21.0,2.8390784635086144
0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,61.0,3.5061818266142577
0,2,male,57.0,0,0,12.35,Q,Second,man,True,,Queenstown,no,True,57.0,2.5915163848462583
1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True,21.0,4.368919865004903
0,3,male,26.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,26.0,2.1855792552411137
0,3,male,,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True,28.0,2.167143305297764
1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True,80.0,3.4339872044851463
0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True,51.0,2.086193694502369
1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True,32.0,3.449987545831587
0,1,male,,0,0,0.0,S,First,man,True,,Southampton,no,True,28.0,0.0
0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,9.0,3.3638415951183864
1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,28.0,2.639057329615259
0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,32.0,2.188856327665703
0,2,male,31.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,31.0,3.305053521109253
0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False,41.0,3.705920919968788
0,3,male,,1,0,16.1,S,Third,man,True,,Southampton,no,False,28.0,2.8390784635086144
0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,20.0,2.180891922715322
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,24.0,4.252771798816619
0,3,female,2.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,2.0,3.3638415951183864
1,3,male,,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,28.0,4.051711901657239
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False,0.75,3.0085645861193133
1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False,48.0,4.353230991152628
0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,19.0,2.1855792552411137
1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True,56.0,3.597312260588446
0,3,male,,0,0,7.55,S,Third,man,True,,Southampton,no,True,28.0,2.145931282948669
1,3,female,23.0,0,0,7.55,S,Third,woman,False,,Southampton,yes,True,23.0,2.145931282948669
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
1,2,female,18.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,18.0,3.1780538303479458
0,3,male,21.0,0,0,8.4333,S,Third,man,True,,Southampton,no,True,21.0,2.2442459824059346
1,3,female,,0,0,7.8292,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.17806441028492
0,3,female,18.0,0,0,6.75,Q,Third,woman,False,,Queenstown,no,True,18.0,2.0476928433652555
0,2,male,24.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,24.0,4.310799125385514
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,3,female,32.0,1,1,15.5,Q,Third,woman,False,,Queenstown,no,False,32.0,2.803360380906535
0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,23.0,2.639057329615259
0,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False,58.0,4.738607824217808
1,1,male,50.0,2,0,133.65,S,First,man,True,,Southampton,yes,False,50.0,4.902678819257608
0,3,male,40.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,40.0,2.1071782966514356
0,1,male,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True,47.0,3.2804411805263554
0,3,male,36.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True,36.0,2.139571923732859
1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False,20.0,2.188856327665703
0,2,male,32.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,32.0,4.310799125385514
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,25.0,2.639057329615259
